Word,Frequency,Letters_Number,Unique_Letters_number,Difference,Tokens_Number,Tokens_gpt4o-mini,GPT4o-mini_IFCorrect
his,660177731,3,3,0,1,his,1
when,650621178,4,4,0,1,when,1
contact,645824184,7,5,2,1,contact,0
here,639711198,4,3,1,1,here,1
business,637134177,8,6,2,1,business,0
who,630927278,3,3,0,1,who,1
web,619571575,3,3,0,1,web,1
also,616829742,4,4,0,1,also,1
now,611387736,3,3,0,1,now,1
help,611054034,4,4,0,1,help,1
get,605984508,3,3,0,1,get,1
pm,604577485,2,2,0,1,pm,1
view,602279334,4,4,0,1,view,1
online,601317059,6,5,1,1,online,1
c,596623239,1,1,0,1,c,1
e,593086170,1,1,0,1,e,1
first,578161543,5,5,0,1,first,1
am,576436203,2,2,0,1,am,1
been,575019382,4,3,1,1,been,0
would,572644147,5,5,0,1,would,0
how,571848080,3,3,0,1,how,1
were,570699558,4,3,1,1,were,1
me,566617666,2,2,0,1,me,1
s,565123981,1,1,0,1,s,1
services,562206804,8,6,2,1,services,1
some,548829454,4,4,0,1,some,1
these,541003982,5,4,1,1,these,1
click,536746424,5,4,1,1,click,0
its,525627757,3,3,0,1,its,1
like,520585287,4,4,0,1,like,1
service,519537222,7,6,1,1,service,1
x,508609523,1,1,0,1,x,1
than,502609275,4,4,0,1,than,1
find,502043038,4,4,0,1,find,1
price,501651226,5,5,0,1,price,1
date,488967374,4,4,0,1,date,1
back,488024109,4,4,0,1,back,1
top,484213771,3,3,0,1,top,1
people,480303376,6,4,2,1,people,1
had,480232730,3,3,0,1,had,1
list,472590641,4,4,0,1,list,1
name,464532702,4,4,0,1,name,1
just,462836169,4,4,0,1,just,1
over,459222855,4,4,0,1,over,1
state,453104133,5,4,1,1,state,0
year,451092583,4,4,0,1,year,1
day,446236148,3,3,0,1,day,1
into,445315294,4,4,0,1,into,1
email,443949646,5,5,0,1,email,0
two,441398439,3,3,0,1,two,1
health,440416431,6,5,1,1,health,0
n,437961375,1,1,0,1,n,1
world,431934249,5,5,0,1,world,1
re,430847564,2,2,0,1,re,1
next,425903347,4,4,0,1,next,1
used,421438139,4,4,0,1,used,1
go,421086358,2,2,0,1,go,1
b,419765694,1,1,0,1,b,1
work,419483948,4,4,0,1,work,1
last,417601616,4,4,0,1,last,1
most,416210411,4,4,0,1,most,1
products,414377632,8,8,0,1,products,1
music,414028837,5,5,0,1,music,1
buy,410780176,3,3,0,1,buy,1
data,406908328,4,3,1,1,data,1
make,405084642,4,4,0,1,make,1
them,403000411,4,4,0,1,them,1
should,402028056,6,6,0,1,should,1
product,399116355,7,7,0,1,product,1
system,396975018,6,5,1,1,system,0
post,392956436,4,4,0,1,post,1
her,391961061,3,3,0,1,her,1
city,390564835,4,4,0,1,city,1
t,388448018,1,1,0,1,t,1
add,387231739,3,2,1,1,add,0
policy,384401868,6,6,0,1,policy,1
number,383787805,6,6,0,1,number,0
such,380725892,4,4,0,1,such,1
please,380046348,6,5,1,1,please,1
available,379644437,9,6,3,1,available,0
copyright,373906735,9,9,0,1,copyright,1
support,373512569,7,6,1,1,support,1
message,373081242,7,5,2,1,message,0
after,372948094,5,5,0,1,after,0
best,371852748,4,4,0,1,best,1
software,370517038,8,8,0,1,software,1
then,369928941,4,4,0,1,then,1
jan,366436194,3,3,0,1,jan,1
good,365796396,4,3,1,1,good,1
video,365410017,5,5,0,1,video,1
well,362082755,4,3,1,1,well,1
d,361493758,1,1,0,1,d,1
where,360468339,5,4,1,1,where,0
info,352363058,4,4,0,1,info,1
rights,352051342,6,6,0,1,rights,1
public,349286123,6,6,0,1,public,1
books,347710184,5,4,1,1,books,1
high,345413157,4,3,1,1,high,0
school,343057316,6,5,1,1,school,1
through,342373303,7,6,1,1,through,0
m,341583838,1,1,0,1,m,1
each,340892856,4,4,0,1,each,1
links,339926541,5,5,0,1,links,1
she,339171382,3,3,0,1,she,1
review,339067778,6,5,1,1,review,0
years,337841309,5,5,0,1,years,0
order,336631187,5,4,1,1,order,0
very,334923368,4,4,0,1,very,1
privacy,333272427,7,7,0,1,privacy,1
book,330959949,4,3,1,1,book,1
items,330505325,5,5,0,1,items,1
company,324272258,7,7,0,1,company,1
r,323534251,1,1,0,1,r,1
read,322331766,4,4,0,1,read,1
group,321842984,5,5,0,1,group,1
sex,320105999,3,3,0,1,sex,1
need,319376932,4,3,1,1,need,0
many,318966441,4,4,0,1,many,1
user,316446229,4,4,0,1,user,1
said,315595259,4,4,0,1,said,1
de,314593284,2,2,0,1,de,1
does,314018806,4,4,0,1,does,1
set,313469591,3,3,0,1,set,0
under,313296421,5,5,0,1,under,1
general,311757793,7,6,1,1,general,0
research,311538382,8,6,2,1,research,1
university,311373936,10,9,1,2,un iversity,1
january,310345867,7,6,1,2,jan uary,1
mail,310337185,4,4,0,1,mail,1
full,309929179,4,3,1,1,full,1
map,309676581,3,3,0,1,map,1
reviews,307684103,7,6,1,1,reviews,0
program,306686983,7,6,1,1,program,0
life,306559205,4,4,0,1,life,1
know,306100813,4,4,0,1,know,1
games,305930896,5,5,0,1,games,1
way,305515604,3,3,0,1,way,1
days,305147791,4,4,0,1,days,1
management,304201237,10,6,4,1,management,0
p,303249898,1,1,0,1,p,1
part,302729303,4,4,0,1,part,1
could,302311431,5,5,0,1,could,1
great,301487430,5,5,0,1,great,1
united,299280163,6,6,0,2,un ited,1
hotel,297974790,5,5,0,1,hotel,1
real,297674493,4,4,0,1,real,1
f,297285731,1,1,0,1,f,1
item,296534935,4,4,0,1,item,1
international,295639201,13,8,5,1,international,0
center,294319118,6,5,1,1,center,1
ebay,293178760,4,4,0,2,eb ay,1
must,292774716,4,4,0,1,must,1
store,291308910,5,5,0,1,store,1
travel,287719294,6,6,0,1,travel,1
comments,287558448,8,7,1,1,comments,0
made,287353021,4,4,0,1,made,1
development,286291411,11,9,2,1,development,0
report,286237372,6,5,1,1,report,1
off,284035693,3,2,1,1,off,1
member,283858893,6,4,2,1,member,0
details,280827841,7,7,0,1,details,1
line,280009597,4,4,0,1,line,1
terms,277705910,5,5,0,1,terms,1
before,277546019,6,5,1,1,before,1
hotels,275510917,6,6,0,2,hot els,1
did,275369513,3,2,1,1,did,1
send,274103587,4,4,0,1,send,1
right,273620358,5,5,0,1,right,1
type,272336859,4,4,0,1,type,1
because,271323986,7,6,1,1,because,1
local,270742935,5,4,1,1,local,0
those,270014141,5,5,0,1,those,1
using,269448880,5,5,0,1,using,1
results,268180843,7,6,1,1,results,0
office,266789622,6,5,1,1,office,1
education,266738068,9,9,0,1,education,0
national,266376620,8,6,2,1,national,1
car,264720374,3,3,0,1,car,1
design,264448339,6,6,0,1,design,1
take,264349801,4,4,0,1,take,1
posted,263851272,6,6,0,1,posted,1
internet,263777245,8,5,3,1,internet,0
address,261872866,7,5,2,1,address,0
community,261839117,9,8,1,1,community,0
within,261390908,6,5,1,1,within,0
states,260937015,6,4,2,1,states,0
area,259871557,4,3,1,1,area,1
want,258690345,4,4,0,1,want,1
phone,256643812,5,5,0,1,phone,1
dvd,256530337,3,2,1,2,d vd,1
shipping,256521328,8,6,2,1,shipping,0
reserved,256443074,8,5,3,1,reserved,0
subject,256217838,7,7,0,1,subject,1
between,255436698,7,5,2,1,between,0
forum,254478181,5,5,0,1,forum,1
family,254164055,6,6,0,1,family,1
l,252900442,1,1,0,1,l,1
long,252519588,4,4,0,1,long,1
based,252405204,5,5,0,1,based,1
w,252231566,1,1,0,1,w,1
code,250245121,4,4,0,1,code,0
show,247541986,4,4,0,1,show,1
o,246429812,1,1,0,1,o,1
even,245697701,4,3,1,1,even,1
black,244690155,5,5,0,1,black,1
check,244491090,5,4,1,1,check,0
special,244311841,7,7,0,1,special,1
prices,243435728,6,6,0,1,prices,1
website,242876222,7,6,1,1,website,1
index,242826246,5,5,0,1,index,0
being,242783091,5,5,0,1,being,1
women,242520455,5,5,0,1,women,1
much,242326300,4,4,0,1,much,1
sign,242290578,4,4,0,1,sign,1
file,241864251,4,4,0,1,file,1
link,240402653,4,4,0,1,link,1
open,239670331,4,4,0,1,open,1
today,239271204,5,5,0,1,today,1
technology,238674296,10,9,1,1,technology,0
south,238581133,5,5,0,1,south,1
case,235563000,4,4,0,1,case,1
project,235262594,7,7,0,1,project,1
same,234822585,4,4,0,1,same,1
pages,234001114,5,5,0,1,pages,1
uk,232749142,2,2,0,1,uk,1
version,232445953,7,7,0,1,version,0
section,232251956,7,7,0,1,section,0
own,232011723,3,3,0,1,own,1
found,232005894,5,5,0,1,found,1
sports,231864260,6,5,1,1,sports,0
house,231310420,5,5,0,1,house,1
related,231127472,7,6,1,1,related,0
security,230014019,8,8,0,1,security,1
both,228648541,4,4,0,1,both,1
g,227771642,1,1,0,1,g,1
county,227567373,6,6,0,1,county,1
american,227534978,8,7,1,1,american,1
photo,227125249,5,4,1,1,photo,1
game,227111505,4,4,0,1,game,1
members,226656153,7,5,2,1,members,0
power,226596368,5,5,0,1,power,1
while,226194991,5,5,0,1,while,1
care,225326739,4,4,0,1,care,1
network,225218991,7,7,0,1,network,1
down,224915894,4,4,0,1,down,1
computer,224177047,8,8,0,1,computer,1
systems,223555915,7,5,2,1,systems,1
three,223417394,5,4,1,1,three,1
total,222649459,5,4,1,1,total,0
place,220970235,5,5,0,1,place,1
end,220812328,3,3,0,1,end,1
following,220709925,9,7,2,1,following,0
download,220626128,8,6,2,1,download,0
h,220523502,1,1,0,1,h,1
him,219516023,3,3,0,1,him,1
without,219190105,7,6,1,1,without,0
per,218945655,3,3,0,1,per,1
access,217986984,6,4,2,1,access,0
think,217856550,5,5,0,1,think,1
north,217809513,5,5,0,1,north,1
resources,217268632,9,6,3,1,resources,0
current,216987137,7,6,1,1,current,1
posts,216822128,5,4,1,1,posts,0
big,216690546,3,3,0,1,big,1
media,216432510,5,5,0,1,media,1
law,216122487,3,3,0,1,law,1
control,215560453,7,6,1,1,control,0
water,215178488,5,5,0,1,water,1
history,215000515,7,7,0,1,history,1
pictures,214997918,8,8,0,1,pictures,1
size,214844153,4,4,0,1,size,1
art,214702696,3,3,0,1,art,1
personal,214671907,8,8,0,1,personal,0
since,214302926,5,5,0,1,since,1
including,214195457,9,7,2,1,including,0
guide,213378807,5,5,0,1,guide,1
shop,212793848,4,4,0,1,shop,1
directory,212478717,9,8,1,1,directory,1
board,212361059,5,5,0,1,board,1
location,211243333,8,7,1,1,location,0
change,210601244,6,6,0,1,change,1
white,209863729,5,5,0,1,white,1
text,208780080,4,3,1,1,text,1
small,208371878,5,4,1,1,small,1
rating,207858692,6,6,0,1,rating,1
rate,207634179,4,4,0,1,rate,1
government,206582673,10,8,2,1,government,1
children,206538107,8,8,0,1,children,1
during,206364495,6,6,0,1,during,1
usa,206211773,3,3,0,1,usa,1
return,205629763,6,5,1,1,return,0
students,204801202,8,6,2,1,students,0
v,204486977,1,1,0,1,v,1
shopping,204104275,8,7,1,1,shopping,1
account,203611349,7,6,1,1,account,1
times,202950880,5,5,0,1,times,1
sites,202755734,5,4,1,1,sites,1
level,202563642,5,3,2,1,level,1
digital,202346767,7,6,1,1,digital,0
profile,201854745,7,7,0,1,profile,1
previous,201692678,8,8,0,1,previous,0
form,201395192,4,4,0,1,form,1
events,201235454,6,5,1,1,events,1
love,201063526,4,4,0,1,love,1
old,199694226,3,3,0,1,old,1
john,199642644,4,4,0,1,john,1
main,199616754,4,4,0,1,main,1
call,199608869,4,3,1,1,call,1
hours,198242904,5,5,0,1,hours,1
image,197874283,5,5,0,1,image,1
department,197293325,10,8,2,1,department,1
title,196676017,5,4,1,1,title,1
description,196301245,11,10,1,1,description,0
non,196109547,3,2,1,1,non,1
k,195647953,1,1,0,1,k,1
y,195011703,1,1,0,1,y,1
insurance,193271293,9,8,1,1,insurance,1
another,192535750,7,7,0,1,another,0
why,192000672,3,3,0,1,why,1
shall,191963867,5,4,1,1,shall,1
property,191783393,8,6,2,1,property,0
class,191087771,5,4,1,1,class,0
cd,190859046,2,2,0,1,cd,1
still,190433487,5,4,1,1,still,1
money,190205072,5,5,0,1,money,1
quality,189509533,7,7,0,1,quality,1
every,189325890,5,4,1,1,every,1
listing,188985252,7,6,1,1,listing,0
content,188880495,7,5,2,1,content,0
country,188691168,7,7,0,1,country,1
private,187885878,7,7,0,1,private,0
little,187142519,6,4,2,1,little,1
visit,187062316,5,4,1,1,visit,0
save,186091095,4,4,0,1,save,1
tools,185555874,5,4,1,1,tools,0
low,184815478,3,3,0,1,low,1
reply,184777992,5,5,0,1,reply,0
customer,184406888,8,8,0,1,customer,1
december,183237239,8,6,2,2,dec ember,0
compare,183202885,7,7,0,1,compare,1
movies,182739567,6,6,0,1,movies,1
include,182579275,7,7,0,1,include,1
college,182545426,7,5,2,1,college,0
value,182061247,5,5,0,1,value,1
article,181969355,7,7,0,1,article,0
york,181556155,4,4,0,2,y ork,1
man,181445531,3,3,0,1,man,1
card,181387042,4,4,0,1,card,1
jobs,181075605,4,4,0,1,jobs,1
provide,181040994,7,7,0,1,provide,1
j,180739802,1,1,0,1,j,1
food,180144029,4,3,1,1,food,1
source,179963886,6,6,0,1,source,1
author,179813446,6,6,0,1,author,1
different,179794224,9,7,2,1,different,0
press,179652730,5,4,1,1,press,1
u,179615587,1,1,0,1,u,1
learn,179428286,5,5,0,1,learn,1
sale,179224570,4,4,0,1,sale,1
around,178810033,6,6,0,1,around,1
print,178250872,5,5,0,1,print,1
course,177976652,6,6,0,1,course,1
job,177706929,3,3,0,1,job,1
canada,177153952,6,4,2,2,can ada,0
process,176829177,7,6,1,1,process,0
teen,176301486,4,3,1,1,teen,1
room,176299905,4,3,1,1,room,1
stock,176295589,5,5,0,1,stock,1
training,176129154,8,6,2,1,training,0
too,176093255,3,2,1,1,too,1
credit,175916536,6,6,0,1,credit,1
point,175527859,5,5,0,1,point,1
join,174297802,4,4,0,1,join,1
science,174232809,7,5,2,1,science,0
men,174058407,3,3,0,1,men,1
categories,173839008,10,9,1,1,categories,0
advanced,173422161,8,6,2,1,advanced,0
west,173346868,4,4,0,1,west,1
sales,173244220,5,4,1,1,sales,0
look,173043002,4,3,1,1,look,0
english,172371546,7,7,0,1,english,1
left,171752631,4,4,0,1,left,1
team,171687825,4,4,0,1,team,1
estate,169256248,6,4,2,1,estate,1
box,169231297,3,3,0,1,box,1
conditions,168957006,10,7,3,1,conditions,0
select,168673045,6,5,1,1,select,0
windows,168532149,7,6,1,1,windows,0
photos,167827453,6,5,1,1,photos,0
gay,167587791,3,3,0,1,gay,1
thread,167518537,6,6,0,1,thread,0
week,167202060,4,3,1,1,week,1
category,166811948,8,8,0,1,category,0
note,166657334,4,4,0,1,note,1
live,166005029,4,4,0,1,live,1
large,165863763,5,5,0,1,large,1
gallery,165671626,7,6,1,1,gallery,0
table,165341452,5,5,0,1,table,1
register,164834442,8,6,2,1,register,0
however,163957176,7,6,1,1,however,0
june,163951797,4,4,0,2,j une,1
october,163363054,7,6,1,2,oct ober,0
november,163308383,8,7,1,2,nov ember,1
market,162390150,6,6,0,1,market,1
library,162076395,7,6,1,1,library,0
really,162033390,6,5,1,1,really,0
action,162023431,6,6,0,1,action,1
start,161913408,5,4,1,1,start,0
series,161518557,6,4,2,1,series,0
model,161205740,5,5,0,1,model,1
features,160961088,8,7,1,1,features,1
air,160850401,3,3,0,1,air,1
industry,160812623,8,8,0,1,industry,1
plan,160746244,4,4,0,1,plan,1
human,160573748,5,5,0,1,human,1
provided,159785849,8,7,1,1,provided,0
tv,159603914,2,2,0,1,tv,1
yes,159595214,3,3,0,1,yes,0
required,159478972,8,6,2,1,required,1
second,159343399,6,6,0,1,second,0
hot,159287179,3,3,0,1,hot,1
accessories,158982297,11,7,4,2,access ories,0
cost,158887256,4,4,0,1,cost,1
movie,158421100,5,5,0,1,movie,1
forums,158410645,6,6,0,1,forums,1
march,158281269,5,5,0,2,m arch,1
la,157960401,2,2,0,1,la,1
september,157182255,9,7,2,3,se pt ember,0
better,157079378,6,4,2,1,better,1
say,156845267,3,3,0,1,say,1
questions,156703712,9,8,1,1,questions,0
july,156667525,4,4,0,2,j uly,1
yahoo,155733641,5,4,1,1,yahoo,0
going,155284081,5,4,1,1,going,1
medical,155254497,7,7,0,1,medical,1
test,154999587,4,3,1,1,test,1
friend,154527125,6,6,0,1,friend,1
come,154326119,4,4,0,1,come,1
dec,154301106,3,3,0,1,dec,1
server,153788544,6,4,2,1,server,1
pc,153460135,2,2,0,1,pc,1
study,152978354,5,5,0,1,study,1
application,152776595,11,8,3,1,application,0
cart,152155277,4,4,0,1,cart,1
staff,151553180,5,4,1,1,staff,1
articles,151531225,8,8,0,1,articles,1
san,151350397,3,3,0,1,san,1
feedback,151008079,8,7,1,1,feedback,1
again,150781416,5,4,1,1,again,0
play,150748333,4,4,0,1,play,1
looking,150610176,7,6,1,1,looking,0
issues,150106274,6,4,2,1,issues,0
april,149976767,5,5,0,2,ap ril,1
never,149556758,5,4,1,1,never,1
users,149320234,5,4,1,1,users,0
complete,149312237,8,7,1,1,complete,0
street,149130754,6,4,2,1,street,1
topic,149001702,5,5,0,1,topic,1
comment,148628729,7,6,1,1,comment,0
financial,148330257,9,6,3,1,financial,0
things,147969893,6,6,0,1,things,1
working,147675944,7,7,0,1,working,1
against,147259825,7,6,1,1,against,0
standard,147177212,8,6,2,1,standard,0
tax,146906651,3,3,0,1,tax,1
person,146749448,6,6,0,1,person,1
below,145701629,5,5,0,1,below,1
mobile,145490029,6,6,0,1,mobile,1
less,145430147,4,3,1,1,less,1
got,145057782,3,3,0,1,got,1
blog,145041426,4,4,0,1,blog,1
party,144707500,5,5,0,1,party,1
payment,144646164,7,7,0,1,payment,1
equipment,144298238,9,8,1,1,equipment,1
login,144200144,5,5,0,1,login,1
student,143590165,7,6,1,1,student,1
let,143062438,3,3,0,1,let,1
programs,142498232,8,7,1,1,programs,0
offers,142087909,6,5,1,1,offers,1
legal,142048771,5,4,1,1,legal,1
above,141894620,5,5,0,1,above,1
recent,141765729,6,5,1,1,recent,1
park,141548802,4,4,0,1,park,1
stores,141210433,6,5,1,1,stores,1
side,141155373,4,4,0,1,side,1
act,141076205,3,3,0,1,act,1
problem,141012024,7,7,0,1,problem,1
red,140799532,3,3,0,1,red,1
give,140688602,4,4,0,1,give,1
memory,140479833,6,5,1,1,memory,0
performance,139710600,11,9,2,1,performance,1
social,139566375,6,6,0,1,social,1
q,139563801,1,1,0,1,q,1
august,139459917,6,5,1,2,aug ust,0
quote,139242226,5,5,0,1,quote,1
language,138517992,8,6,2,1,language,0
story,138433809,5,5,0,1,story,1
sell,137696613,4,3,1,1,sell,1
options,137679195,7,6,1,1,options,0
experience,137134662,10,7,3,1,experience,0
rates,137089538,5,5,0,1,rates,1
create,137071122,6,5,1,1,create,0
key,136862835,3,3,0,1,key,1
body,136560842,4,4,0,1,body,1
young,136341684,5,5,0,1,young,1
america,136214727,7,6,1,2,amer ica,1
important,136103455,9,8,1,1,important,0
field,135289140,5,5,0,1,field,1
few,135132664,3,3,0,1,few,1
east,135037085,4,4,0,1,east,1
paper,134939426,5,4,1,1,paper,1
single,134754203,6,6,0,1,single,1
ii,133102742,2,1,1,1,ii,1
age,132725767,3,3,0,1,age,1
activities,132685190,10,7,3,1,activities,0
club,132428495,4,4,0,1,club,1
example,132369252,7,6,1,1,example,1
girls,132325396,5,5,0,1,girls,1
additional,132187702,10,7,3,1,additional,0
password,132141721,8,7,1,1,password,0
z,132095202,1,1,0,1,z,1
latest,131952173,6,5,1,1,latest,1
something,131836210,9,9,0,1,something,1
road,131800620,4,4,0,1,road,1
gift,131417909,4,4,0,1,gift,1
question,130644510,8,8,0,1,question,1
changes,130570251,7,7,0,1,changes,1
night,130531484,5,5,0,1,night,1
ca,130326009,2,2,0,1,ca,1
hard,130054708,4,4,0,1,hard,1
texas,129399241,5,5,0,2,t exas,1
oct,129301730,3,3,0,1,oct,1
pay,129198530,3,3,0,1,pay,1
four,129167110,4,4,0,1,four,1
poker,129054826,5,5,0,2,p oker,1
status,128994593,6,4,2,1,status,0
browse,128740445,6,6,0,1,browse,0
issue,128427156,5,4,1,1,issue,1
range,128314924,5,5,0,1,range,1
building,128251365,8,7,1,1,building,0
seller,127768853,6,4,2,1,seller,1
court,127719981,5,5,0,1,court,1
february,127704851,8,7,1,2,fe bruary,1
always,127634767,6,5,1,1,always,0
result,127425045,6,6,0,1,result,0
audio,127014703,5,5,0,1,audio,1
light,126699632,5,5,0,1,light,1
write,126645151,5,5,0,1,write,1
war,126517399,3,3,0,1,war,1
nov,126461152,3,3,0,1,nov,1
offer,126228968,5,4,1,1,offer,1
blue,126160941,4,4,0,1,blue,1
groups,125814267,6,6,0,1,groups,1
al,125787543,2,2,0,1,al,1
easy,125548527,4,4,0,1,easy,1
given,125542966,5,5,0,1,given,1
files,125524478,5,5,0,1,files,1
event,125515260,5,4,1,1,event,1
release,125340846,7,5,2,1,release,0
analysis,124949540,8,6,2,1,analysis,0
request,124620318,7,6,1,1,request,0
fax,124500817,3,3,0,1,fax,1
china,124472054,5,5,0,1,china,1
making,124198695,6,6,0,1,making,1
picture,124116581,7,7,0,1,picture,1
needs,123595776,5,4,1,1,needs,0
possible,123311561,8,7,1,1,possible,0
might,123196001,5,5,0,1,might,1
professional,123162607,12,10,2,1,professional,0
yet,123160529,3,3,0,1,yet,1
month,123027963,5,5,0,1,month,1
major,122592252,5,5,0,1,major,1
star,122498186,4,4,0,1,star,1
areas,121986327,5,4,1,1,areas,1
future,121844371,6,5,1,1,future,0
space,121505269,5,5,0,1,space,1
committee,121345834,9,6,3,1,committee,0
hand,121296661,4,4,0,1,hand,1
sun,121218500,3,3,0,1,sun,1
cards,121094522,5,5,0,1,cards,1
problems,121087620,8,8,0,1,problems,1
london,121079315,6,4,2,2,l ondon,1
washington,120978063,10,9,1,2,w ashington,1
meeting,120814306,7,6,1,1,meeting,1
rss,120548796,3,2,1,1,rss,1
become,120495036,6,5,1,2,bec ome,1
interest,120272948,8,6,2,1,interest,1
id,119974321,2,2,0,1,id,1
child,119747393,5,5,0,1,child,1
keep,119602514,4,3,1,1,keep,1
enter,119394206,5,4,1,1,enter,1
california,119376975,10,8,2,2,cal ifornia,0
porn,119294962,4,4,0,1,porn,1
share,119294241,5,5,0,1,share,1
similar,119150817,7,6,1,1,similar,0
garden,119014988,6,6,0,2,g arden,1
schools,118978625,7,5,2,1,schools,0
million,118818608,7,5,2,1,million,0
added,118410414,5,3,2,1,added,0
reference,118127636,9,5,4,1,reference,0
companies,118106080,9,9,0,1,companies,1
listed,117951402,6,6,0,1,listed,1
baby,117696064,4,3,1,1,baby,1
learning,117672845,8,7,1,1,learning,1
energy,117451031,6,5,1,1,energy,1
run,117213565,3,3,0,1,run,1
delivery,117119498,8,7,1,1,delivery,1
net,116883588,3,3,0,1,net,1
popular,116495721,7,6,1,1,popular,0
term,116282824,4,4,0,1,term,1
film,116097842,4,4,0,1,film,1
stories,115504667,7,6,1,1,stories,1
put,115205090,3,3,0,1,put,1
computers,115168234,9,9,0,2,comput ers,1
journal,114532201,7,7,0,1,journal,0
reports,114515959,7,6,1,1,reports,1
co,114452742,2,2,0,1,co,1
try,114384208,3,3,0,1,try,1
welcome,114025350,7,6,1,1,welcome,1
central,113841948,7,7,0,1,central,1
images,113788074,6,6,0,1,images,1
president,113756376,9,8,1,2,pres ident,0
notice,113691786,6,6,0,1,notice,1
god,113624357,3,3,0,1,god,1
original,113453183,8,7,1,1,original,0
head,113316224,4,4,0,1,head,1
radio,113285624,5,5,0,1,radio,1
until,113090086,5,5,0,1,until,0
cell,113067567,4,3,1,1,cell,1
color,112965658,5,4,1,1,color,0
self,112902176,4,4,0,1,self,1
council,112893718,7,6,1,2,c ouncil,0
away,112837472,4,3,1,1,away,1
includes,112466751,8,8,0,1,includes,1
track,112385243,5,5,0,1,track,1
australia,112197265,9,7,2,3,au str alia,1
discussion,111973466,10,7,3,1,discussion,0
archive,111971865,7,7,0,1,archive,1
once,111882023,4,4,0,1,once,1
others,111397714,6,6,0,1,others,1
entertainment,111394818,13,7,6,2,ent ertainment,0
agreement,111356320,9,7,2,2,ag reement,0
format,111279626,6,6,0,1,format,0
least,111229798,5,5,0,1,least,1
society,111199035,7,7,0,2,s ociety,1
months,111192257,6,6,0,1,months,0
log,111170350,3,3,0,1,log,1
safety,111064464,6,6,0,2,s afety,1
friends,110732827,7,7,0,1,friends,1
sure,110528740,4,4,0,1,sure,1
faq,110323671,3,3,0,1,faq,1
trade,110086585,5,5,0,1,trade,1
edition,110051463,7,6,1,1,edition,0
cars,109717836,4,4,0,1,cars,1
messages,109697600,8,5,3,1,messages,0
marketing,109596213,9,9,0,1,marketing,1
tell,109553730,4,3,1,1,tell,0
further,109528141,7,6,1,2,f urther,1
updated,109504766,7,6,1,1,updated,0
association,109416386,11,7,4,1,association,0
able,109389038,4,4,0,1,able,1
having,109360096,6,6,0,1,having,1
provides,109213691,8,8,0,2,pro vides,1
david,109067044,5,4,1,2,d avid,0
fun,108389630,3,3,0,1,fun,1
already,108324565,7,6,1,1,already,0
green,108287905,5,4,1,1,green,0
studies,108024858,7,6,1,2,st udies,1
close,107853068,5,5,0,1,close,1
common,107839275,6,4,2,1,common,0
drive,107799371,5,5,0,1,drive,1
