Word,Frequency,Letters_Number,Unique_Letters_number,Difference,GPT4o-mini_IFCorrect,Tokens_Number,Tokens
yzaguirre,13042,9,8,1,0,4,yz ag uir re
senterfitt,14432,10,7,3,0,4,s enter f itt
handera,171396,7,6,1,1,2,hand era
pearpc,57721,6,5,1,1,2,pear pc
smartmarket,36095,11,7,4,0,2,smart market
jamboree,577150,8,7,1,0,3,j amb oree
tdm,1197978,3,3,0,1,2,td m
unpopularity,66040,12,10,2,0,3,un pop ularity
binladen,16163,8,7,1,1,2,bin laden
cholula,31237,7,6,1,1,2,chol ula
launchbar,14627,9,8,1,1,2,launch bar
yetman,26537,6,6,0,1,2,yet man
effective,75960822,9,6,3,1,1,effective
enstore,111196,7,6,1,1,2,en store
sbsi,29740,4,3,1,1,2,sb si
oblig,31035,5,5,0,1,2,ob lig
jffs,33026,4,3,1,0,2,j ffs
dazu,215224,4,4,0,1,2,d azu
sinews,67648,6,5,1,0,3,s ine ws
braudel,38901,7,7,0,1,2,bra udel
badcredit,47134,9,8,1,0,2,bad credit
professor,40572636,9,6,3,0,2,prof essor
notepad,1508900,7,7,0,0,2,not epad
sjk,36518,3,3,0,1,2,sj k
wwwtommys,35954,9,6,3,1,4,www t omm ys
oyer,35342,4,4,0,1,1,oyer
masa,355073,4,3,1,1,1,masa
wishing,5077786,7,6,1,0,2,w ishing
demonstration,9347680,13,10,3,0,3,dem onstr ation
wwwthehunnet,35961,12,6,6,0,4,www the hun net
chilkats,18307,8,8,0,1,3,ch ilk ats
neshannock,12789,10,8,2,0,3,nes hann ock
zts,37083,3,3,0,1,2,z ts
slutswives,21609,10,8,2,0,3,sl uts wives
campin,47295,6,6,0,1,2,camp in
wwwsteakandcheesecom,30986,20,12,8,0,7,www ste ak and che ese com
bruceton,41446,8,8,0,1,3,br uc eton
outrageously,266361,12,10,2,0,4,ou tr age ously
importing,2862094,9,8,1,0,2,import ing
knuckleheads,51145,12,10,2,0,3,kn uckle heads
qiu,246161,3,3,0,1,2,q iu
bupers,13454,6,6,0,1,3,b up ers
kosg,68707,4,4,0,1,2,kos g
shying,47023,6,6,0,0,2,sh ying
jurisprudential,36990,15,12,3,0,4,jur is prud ential
wattana,30849,7,4,3,1,3,w att ana
kazootoys,21407,9,7,2,0,3,kaz oot oys
fuze,102573,4,4,0,1,2,fu ze
splogs,38768,6,5,1,0,2,spl ogs
roseboom,32938,8,6,2,0,2,rose boom
cobbs,142352,5,4,1,1,3,c ob bs
forword,28257,7,5,2,0,2,for word
donata,21448,6,5,1,1,2,don ata
xwp,14254,3,3,0,1,2,x wp
wwwautotradercom,31056,16,10,6,0,6,ww wa ut otr ader com
sarasin,59401,7,5,2,1,2,sar asin
roxb,19881,4,4,0,1,2,ro xb
tikva,64037,5,5,0,1,2,tik va
motha,49011,5,5,0,1,2,m otha
manisa,37088,6,5,1,1,2,man isa
offshore,9689804,8,6,2,0,2,off shore
precincts,957247,9,8,1,1,3,prec inct s
blatently,28482,9,7,2,0,3,bl at ently
idiet,15901,5,4,1,0,2,id iet
camarata,13927,8,5,3,0,3,c amar ata
parrottsville,14115,13,10,3,0,3,par rott sville
ruki,14445,4,4,0,1,2,r uki
linson,24030,6,5,1,1,2,lin son
fedoruk,18708,7,7,0,1,3,f edor uk
stieler,16415,7,6,1,0,3,st iel er
nuer,50171,4,4,0,1,2,n uer
indiscretion,113009,12,9,3,0,3,ind is cretion
enneagram,169166,9,6,3,0,2,enne agram
torani,50754,6,6,0,1,2,tor ani
miedema,24085,7,5,2,0,3,m ied ema
ffv,53557,3,2,1,1,2,ff v
djl,38961,3,3,0,1,2,d jl
bss,640685,3,2,1,1,2,b ss
newmilns,13441,8,7,1,1,3,new mil ns
randu,26120,5,5,0,1,2,rand u
rgmp,22672,4,4,0,1,2,rg mp
goodnews,41850,8,7,1,1,2,good news
casady,54974,6,5,1,1,2,cas ady
geven,51808,5,4,1,1,1,geven
caloric,456201,7,6,1,1,2,cal oric
rafael,2653922,6,5,1,1,2,rafa el
garreth,25800,7,6,1,1,2,gar reth
amerispan,21458,9,8,1,1,3,amer isp an
hogsett,12909,7,6,1,1,2,hog sett
docusate,61109,8,8,0,1,3,d ocus ate
hephzibah,64241,9,7,2,0,5,he ph z ib ah
wibra,14902,5,5,0,1,3,w ib ra
multiband,96798,9,9,0,1,3,mult ib and
tanjil,18403,6,6,0,1,3,t anj il
vargas,958091,6,5,1,1,2,v argas
brillo,44355,6,5,1,1,2,br illo
novick,108165,6,6,0,1,2,nov ick
schweine,29351,8,7,1,1,3,sch we ine
uffici,20094,6,4,2,0,2,uff ici
edfn,16610,4,4,0,1,2,ed fn
immorality,310626,10,8,2,1,3,imm or ality
maliseet,28771,8,7,1,0,3,mal ise et
abrazo,28854,6,5,1,1,2,abra zo
ourses,27928,6,5,1,1,1,ourses
plek,21442,4,4,0,1,1,plek
etapes,14202,6,5,1,1,2,et apes
xxnicholeexx,18968,12,8,4,1,5,xx nich ole ex x
fraile,16290,6,6,0,1,2,fra ile
pagny,15136,5,5,0,1,2,pag ny
hovis,57947,5,5,0,1,2,hov is
reserver,62068,8,4,4,0,2,res erver
ackerman,880538,8,7,1,1,2,ack erman
bremerton,576052,9,7,2,0,3,b rem erton
commissaire,76128,11,8,3,0,3,comm iss aire
breadmaker,111563,10,7,3,0,2,bread maker
homedics,334420,8,8,0,1,2,hom edics
matruh,14029,6,6,0,1,2,mat ruh
bnai,25250,4,4,0,1,2,bn ai
traxxas,233686,7,5,2,1,3,tr axx as
estim,40929,5,5,0,1,1,estim
toboso,13158,6,4,2,0,3,t ob oso
snacked,14111,7,7,0,1,2,sn acked
oaklands,113735,8,7,1,0,2,oak lands
zakah,38781,5,4,1,1,2,zak ah
corofin,14052,7,6,1,0,3,cor of in
sellersburg,66639,11,7,4,0,3,s ellers burg
dowloading,14385,10,8,2,0,2,dow loading
skus,125076,4,3,1,0,2,sk us
missie,42860,6,4,2,0,2,miss ie
mbox,595768,4,4,0,1,2,mb ox
jkt,719272,3,3,0,1,2,j kt
undercabinet,25560,12,10,2,0,4,und erc ab inet
deug,14496,4,4,0,1,2,de ug
sungard,262779,7,7,0,1,3,s ung ard
michler,17707,7,7,0,1,3,m ich ler
sickeningly,34976,11,9,2,1,4,s ick ening ly
warbucks,22983,8,8,0,1,2,war bucks
nutraceutics,98810,12,9,3,0,4,nut r aceut ics
woodshed,89401,8,6,2,0,2,woods hed
dyp,34814,3,3,0,1,2,d yp
treuhand,15053,8,8,0,1,3,tre uh and
aiya,38364,4,3,1,1,2,ai ya
mbl,254783,3,3,0,1,2,m bl
hanny,23588,5,4,1,1,2,h anny
alternated,169249,10,7,3,0,2,altern ated
catsuit,143087,7,6,1,1,2,cats uit
iconic,678475,6,4,2,0,2,icon ic
baranowski,39968,10,9,1,1,3,bar an owski
ptos,38390,4,4,0,1,2,pt os
aline,267309,5,5,0,1,1,aline
casualty,3283712,8,7,1,0,3,cas ual ty
mantua,258917,6,5,1,1,2,mant ua
technosoft,18761,10,8,2,0,3,techn oso ft
rakeback,77193,8,6,2,0,3,r ake back
lexicographers,19271,14,12,2,0,3,lex ic ographers
idyllchat,32165,9,8,1,0,3,id yll chat
numeroff,35361,8,7,1,1,2,numero ff
piccioni,40526,8,5,3,0,3,pic c ioni
zaida,21138,5,4,1,1,2,za ida
worldtraveler,19437,13,9,4,0,3,world trav eler
communs,41815,7,6,1,0,2,comm uns
nthu,14139,4,4,0,1,2,n thu
dmb,349581,3,3,0,1,2,d mb
minoxidil,174712,9,7,2,0,3,min oxid il
ulam,40909,4,4,0,1,1,ulam
angbanders,13355,10,8,2,1,3,ang band ers
awakes,155842,6,5,1,1,2,aw akes
audience,24472658,8,7,1,1,2,aud ience
dishonest,936098,9,8,1,0,3,dish on est
immunity,3620582,8,6,2,0,2,im munity
cisco,27894293,5,4,1,0,2,c isco
etiketten,82268,9,5,4,0,2,etik etten
tenay,12948,5,5,0,1,2,ten ay
fibo,56631,4,4,0,1,2,f ibo
dacoma,16269,6,5,1,1,2,dac oma
chilcoot,24170,8,6,2,1,3,chil co ot
stratis,24243,7,5,2,0,2,str atis
tabsites,26668,8,6,2,0,2,tabs ites
mouser,521786,6,6,0,1,3,m ou ser
yper,21860,4,4,0,1,1,yper
turbocash,16180,9,9,0,0,4,t urb oc ash
cumbriabukkake,21534,14,9,5,0,6,c umb ri ab ukk ake
meatrix,25514,7,7,0,1,2,me atrix
transited,37128,9,8,1,1,2,trans ited
maclachlan,177100,10,6,4,0,3,mac lach lan
layla,490034,5,3,2,1,2,lay la
foodchain,16304,9,8,1,1,2,food chain
foraging,715284,8,7,1,1,2,for aging
pullets,39803,7,6,1,0,2,pul lets
antennen,17242,8,4,4,0,2,ant ennen
lanny,279015,5,4,1,1,2,l anny
coare,19778,5,5,0,1,2,co are
petzl,518275,5,5,0,1,2,pet zl
faleomavaega,34042,12,8,4,0,5,f ale om ava ega
matematik,43987,9,6,3,1,3,mat em atik
kerkhoven,24745,9,7,2,0,3,ker kh oven
dantec,16545,6,6,0,1,2,d antec
cambodian,1336560,9,8,1,1,3,c amb odian
speedhorn,55439,9,8,1,0,2,speed horn
taegu,50542,5,5,0,1,2,ta egu
jhon,71630,4,4,0,1,2,j hon
lindert,17139,7,7,0,1,3,l ind ert
douching,60062,8,8,0,1,3,d ouch ing
intragovernmental,37586,17,11,6,0,4,in trag overn mental
kaysen,24317,6,6,0,1,3,k ays en
earnalot,13056,8,7,1,1,3,earn al ot
racines,36989,7,7,0,1,2,rac ines
solander,26291,8,8,0,1,2,sol ander
herniation,108655,10,8,2,0,3,her ni ation
criticised,843171,10,7,3,0,2,critic ised
kiki,693528,4,2,2,1,2,k iki
lesiban,56429,7,7,0,1,2,les iban
salvadori,37798,9,8,1,1,4,sal v ador i
hesston,120491,7,6,1,1,2,hes ston
manion,70844,6,5,1,1,2,man ion
giro,953184,4,4,0,1,2,g iro
orite,38237,5,5,0,1,2,or ite
ergo,1034681,4,4,0,1,2,er go
tef,125424,3,3,0,1,2,te f
limas,39567,5,5,0,1,2,lim as
wwwrtlde,43828,8,6,2,1,3,www rt lde
bulbophyllum,147008,12,8,4,0,4,bul b ophyll um
mindviz,39872,7,6,1,0,2,mind viz
caylor,26234,6,6,0,1,2,c aylor
tgch,19566,4,4,0,1,2,tg ch
kakamega,36596,8,5,3,1,4,k ak ame ga
explode,1880264,7,6,1,0,1,explode
dyker,19031,5,5,0,1,2,dy ker
hargrave,205954,8,6,2,0,2,har grave
merits,3181319,6,6,0,1,2,mer its
sawan,55634,5,4,1,1,2,s awan
diaoyu,13713,6,6,0,1,2,dia oyu
zielona,50315,7,7,0,0,2,ziel ona
kadmon,19546,6,6,0,1,2,kad mon
gastroschisis,23424,13,9,4,0,4,gast ros ch isis
hasexon,34626,7,7,0,1,3,has ex on
maledom,72997,7,6,1,1,3,m aled om
sakala,14506,6,4,2,1,2,s akala
shearaton,95309,9,8,1,0,3,she ar aton
holofernes,22358,10,8,2,0,4,h olo fer nes
perpective,15141,10,7,3,0,2,per pective
reast,12992,5,5,0,1,2,re ast
swiveled,31530,8,7,1,0,3,sw ive led
bjarke,14258,6,6,0,1,2,bj arke
husky,1606901,5,5,0,1,2,hus ky
heliocentric,107934,12,9,3,0,3,heli oc entric
domenici,335295,8,7,1,1,3,d omen ici
hornell,121263,7,6,1,1,2,horn ell
tclobject,12995,9,7,2,0,3,t cl object
genebanks,14444,9,7,2,0,3,gen eb anks
unifying,757450,8,6,2,0,2,un ifying
frognet,69481,7,7,0,1,2,frog net
teamates,13374,8,5,3,0,2,team ates
ecotopia,26846,8,7,1,1,3,ec ot opia
pankration,14878,10,8,2,1,3,p ank ration
photoshoots,83744,11,5,6,0,3,photos ho ots
bhoy,17829,4,4,0,1,2,bh oy
rosemount,313136,9,8,1,0,3,ro sem ount
messege,59694,7,4,3,0,2,messe ge
abatron,13803,7,6,1,1,2,abat ron
ribokas,19515,7,7,0,1,3,rib ok as
missionary,2576312,10,8,2,0,2,mission ary
chisenhale,15946,10,8,2,0,3,ch isen hale
rid,7877480,3,3,0,1,1,rid
ivanisevic,51365,10,7,3,0,3,ivan ise vic
tuscan,1055307,6,6,0,1,3,t us can
oddworld,159666,8,5,3,0,2,odd world
garza,648608,5,4,1,1,2,gar za
traviesa,26548,8,7,1,1,2,trav iesa
jschool,13482,7,6,1,0,2,js chool
rcfd,25918,4,4,0,1,2,rc fd
skill,15835076,5,4,1,0,1,skill
riccardi,63003,8,5,3,0,3,ric card i
jcater,40952,6,6,0,1,2,jc ater
understating,37864,12,10,2,0,3,under st ating
evens,223759,5,4,1,1,2,ev ens
shiffman,48751,8,7,1,1,3,sh iff man
pornsex,20611,7,7,0,1,2,porn sex
nflnfl,61918,6,3,3,1,4,n fl n fl
golledge,16096,8,5,3,0,2,gol ledge
muckler,25971,7,7,0,1,3,m uck ler
shekou,19045,6,6,0,1,2,she kou
honking,141742,7,6,1,1,2,hon king
miraj,22435,5,5,0,1,2,mir aj
intrada,21521,7,6,1,1,2,intr ada
tify,87936,4,4,0,1,2,t ify
compactors,228456,10,8,2,0,2,comp actors
davidswanson,23922,12,8,4,0,4,dav ids w anson
automated,12816951,9,7,2,0,2,autom ated
mathworks,372961,9,9,0,1,2,math works
umx,19859,3,3,0,1,2,um x
chickasha,139018,9,6,3,1,3,ch ick asha
vir,786138,3,3,0,1,1,vir
losing,12607223,6,6,0,1,2,los ing
transmitters,1447981,12,8,4,0,3,trans mit ters
xalculator,13655,10,8,2,0,3,x al culator
rnam,15700,4,4,0,1,2,r nam
verdery,12896,7,5,2,0,3,ver der y
cidoc,27221,5,4,1,0,2,cid oc
freeblowjob,24371,11,8,3,0,4,free bl ow job
vardon,40391,6,6,0,1,2,vard on
plaisance,76148,9,8,1,1,3,pl ais ance
menter,53160,6,5,1,1,2,ment er
visordown,24245,9,8,1,0,3,vis ord own
scoping,885859,7,7,0,1,2,sc oping
heldt,27373,5,5,0,1,2,held t
rheinhessen,17670,11,6,5,0,4,r he inh essen
wwwcontest,12713,10,7,3,0,2,www contest
materialise,122471,11,8,3,0,2,material ise
shaheenairways,13136,14,9,5,0,4,sha heen air ways
hief,15256,4,4,0,1,2,h ief
failover,808572,8,8,0,1,2,fail over
sternwheeler,16938,12,8,4,0,4,stern w he eler
raynham,182750,7,6,1,0,3,ray nh am
pijin,30103,5,4,1,0,2,p ijin
weatherization,188057,14,10,4,0,2,weather ization
bitmasters,15893,10,8,2,0,2,bit masters
amlpand,27501,7,6,1,0,2,aml pand
scroogle,15541,8,7,1,1,3,sc ro ogle
karny,14033,5,5,0,1,3,k arn y
aok,122652,3,3,0,1,2,a ok
dese,90061,4,3,1,1,2,d ese
liesl,48191,5,4,1,1,2,lies l
specialorder,126002,12,10,2,0,2,special order
nanuet,156759,6,5,1,1,3,n anu et
dounreay,57087,8,8,0,1,4,d oun re ay
lindesay,25698,8,8,0,1,4,l ind es ay
caldicot,62256,8,7,1,1,3,cal dic ot
skrevet,65372,7,6,1,0,2,sk revet
ral,852577,3,3,0,1,1,ral
stimulant,701584,9,8,1,1,3,st imul ant
bcu,113602,3,3,0,1,2,b cu
ottumwa,481462,7,6,1,0,2,ott umwa
cattani,16545,7,5,2,1,3,c att ani
ramune,21123,6,6,0,1,2,ram une
schlegelmilch,13254,13,8,5,0,5,sch leg el mil ch
taksim,102671,6,6,0,1,3,t aks im
hentwi,12991,6,6,0,1,3,h ent wi
ringtonss,13299,9,7,2,0,3,r ington ss
uuhash,19607,6,4,2,1,3,u uh ash
silvery,498555,7,7,0,1,2,sil very
cynnig,84633,6,5,1,0,2,c ynnig
shalbourne,14995,10,10,0,1,2,shal bourne
hallel,23370,6,4,2,1,2,hal lel
stypes,13211,6,5,1,0,2,st ypes
yippy,22796,5,3,2,1,2,y ippy
bladeframe,21857,10,8,2,0,2,blade frame
trabaja,19491,7,5,2,0,2,trab aja
satyrium,14867,8,8,0,1,3,s aty rium
antomic,16088,7,7,0,1,2,ant omic
kernville,53990,9,7,2,0,2,kern ville
uos,80104,3,3,0,1,1,uos
envisions,331810,9,6,3,0,2,en visions
s,565123981,1,1,0,1,1,s
dermatosis,19462,10,9,1,1,3,der mat osis
localizes,80573,9,8,1,0,2,local izes
elsea,12889,5,4,1,1,2,else a
hammill,147290,7,5,2,1,3,h amm ill
erfurth,18218,7,6,1,1,3,er fur th
dvcd,25838,4,3,1,1,2,dv cd
sushmita,51328,8,7,1,1,4,s ush m ita
priding,15356,7,6,1,0,2,pr iding
multibase,46616,9,9,0,1,2,mult ibase
atlarge,79942,7,6,1,1,2,at large
onkeypress,29582,10,8,2,0,2,on keypress
jamas,18919,5,4,1,1,2,j amas
nmr,2133501,3,3,0,1,2,n mr
dataproducts,265537,12,9,3,0,4,dat apro duct s
natural,105101771,7,6,1,1,1,natural
morten,472337,6,6,0,1,2,m orten
thug,1604910,4,4,0,1,2,th ug
perigueux,34943,9,7,2,0,3,per igue ux
dogman,24703,6,6,0,1,2,dog man
opnavinst,56676,9,8,1,1,3,op nav inst
scorning,28343,8,7,1,1,2,sc orning
usdollars,25129,9,7,2,0,2,usd ollars
callicut,46237,8,6,2,0,3,cal lic ut
interactif,18212,10,8,2,0,3,inter act if
dissuasive,18597,10,7,3,0,3,d iss uasive
eminimalls,268325,10,7,3,0,3,emin im alls
snss,27705,4,2,2,1,2,sn ss
goodis,15419,6,5,1,0,2,good is
cfj,34137,3,3,0,1,2,cf j
applicaton,25461,10,8,2,1,3,app lic aton
beken,27374,5,4,1,1,2,b eken
treorchy,38772,8,7,1,0,3,tre orch y
libmodule,21421,9,8,1,0,2,lib module
reviewed,29665969,8,6,2,0,2,review ed
tizi,14697,4,3,1,1,2,t izi
relativa,29099,8,7,1,1,2,rel ativa
kamath,76840,6,5,1,1,2,kam ath
epishs,105235,6,5,1,1,3,ep ish s
dsl,26407952,3,3,0,1,1,dsl
epsfig,13002,6,6,0,1,2,eps fig
symfwnias,12872,9,8,1,1,4,sym f wn ias
platzer,33246,7,7,0,1,2,plat zer
since,214302926,5,5,0,1,1,since
aam,259590,3,2,1,1,2,a am
watlow,30968,6,5,1,0,2,wat low
cyndee,21174,6,5,1,1,3,cy nd ee
tallwood,18699,8,6,2,0,3,t all wood
hoetls,19308,6,6,0,1,3,ho et ls
levelland,94809,9,6,3,0,3,lev ell and
incurrence,34954,10,6,4,0,2,inc urrence
hinano,15469,6,5,1,1,2,hin ano
kista,55183,5,5,0,1,2,k ista
electricians,1216354,12,9,3,0,2,electric ians
deviance,356186,8,7,1,1,3,de vi ance
backrests,41436,9,8,1,1,2,back rests
piekne,17853,6,5,1,0,3,p iek ne
adda,129805,4,2,2,0,1,adda
ntis,286327,4,4,0,1,2,nt is
paradisio,16342,9,7,2,1,3,par ad isio
romio,29674,5,4,1,1,2,rom io
horrified,609528,9,7,2,0,3,h orr ified
shoplet,90894,7,7,0,1,2,shop let
ashbrook,204329,8,7,1,0,2,ash brook
prophesying,71034,11,10,1,0,3,pro phes ying
heathlands,32639,10,8,2,0,3,he ath lands
longwarry,17414,9,8,1,1,3,long war ry
allintext,15224,9,7,2,0,3,all in text
hwyl,22896,4,4,0,1,2,hw yl
cygni,45047,5,5,0,1,3,cy g ni
precalculus,164972,11,8,3,0,3,pre cal culus
openmp,167930,6,5,1,0,2,open mp
derivative,4721844,10,7,3,0,2,der ivative
detracted,62532,9,6,3,0,3,d etr acted
limbaugh,919382,8,8,0,1,3,lim b augh
twiddle,73421,7,6,1,0,2,tw iddle
killah,215781,6,5,1,1,2,kill ah
denlinger,25499,9,7,2,0,2,den linger
isno,12903,4,4,0,1,2,is no
proel,34135,5,5,0,1,2,pro el
radiohead,1729076,9,7,2,0,2,radio head
collegedale,54257,11,7,4,0,4,col leg ed ale
baxa,40373,4,3,1,1,2,b axa
rtcc,12850,4,3,1,1,2,rt cc
ogggoo,12711,6,2,4,0,2,ogg goo
dimwitted,34838,9,6,3,0,3,dim w itted
azjatka,26182,7,5,2,0,3,az jat ka
digitaria,23000,9,6,3,1,2,dig itaria
firebombs,16979,9,8,1,1,3,fire bomb s
erbs,57356,4,4,0,1,2,er bs
uah,543087,3,3,0,1,1,uah
zwilling,39214,8,6,2,0,2,zw illing
neki,56499,4,4,0,1,2,ne ki
coppermine,1974158,10,8,2,0,3,cop perm ine
multipost,25190,9,8,1,0,2,multip ost
korf,40328,4,4,0,1,2,kor f
easycoder,61879,9,8,1,1,2,easy coder
vot,115356,3,3,0,1,2,v ot
certs,596230,5,5,0,1,2,cert s
manpreetsingh,13260,13,11,2,0,5,man pre ets ing h
wadi,353564,4,4,0,1,1,wadi
alternative,55502123,11,8,3,0,1,alternative
bapco,25726,5,5,0,1,3,b ap co
wellsford,35299,9,8,1,0,3,w ells ford
worthwhile,2984982,10,8,2,0,2,worth while
pve,152036,3,3,0,1,2,p ve
tola,39102,4,4,0,1,2,t ola
recitativo,23088,10,8,2,0,3,rec it ativo
hsitory,12716,7,7,0,1,2,hs itory
neurosecretory,32396,14,9,5,0,4,ne uro secret ory
gespaa,21102,6,5,1,0,2,ges paa
muchos,177143,6,6,0,1,2,much os
nvtaskbarinit,14093,13,9,4,0,5,n vt ask bar init
passed,33242084,6,5,1,1,1,passed
ftsz,50651,4,4,0,1,2,ft sz
leiber,110947,6,5,1,0,2,le iber
mccann,985605,6,4,2,0,3,m cc ann
roentgenology,19392,13,8,5,0,4,ro ent gen ology
manipal,64882,7,6,1,1,2,man ipal
bloc,2215168,4,4,0,1,1,bloc
tragedia,37974,8,7,1,1,3,tr aged ia
bidder,12023506,6,5,1,0,2,bid der
kio,309154,3,3,0,1,2,k io
juncal,12856,6,6,0,1,3,j unc al
snj,40915,3,3,0,1,2,sn j
juego,379581,5,5,0,1,2,j uego
decepticon,62637,10,8,2,0,3,de cept icon
wyrick,83838,6,6,0,1,2,wyr ick
correy,13903,6,5,1,1,2,cor rey
moof,21398,4,3,1,0,2,mo of
cutely,17426,6,6,0,1,2,cut ely
cebas,35731,5,5,0,1,2,ce bas
resipes,35332,7,5,2,0,2,res ipes
cogiendo,34641,8,7,1,0,3,c og iendo
czerny,54786,6,6,0,1,3,cz ern y
lotusphere,192426,10,9,1,0,3,lot us phere
songo,24699,5,4,1,1,2,s ongo
stranden,23676,8,7,1,1,2,str anden
dfis,15174,4,4,0,1,2,df is
bursitis,182008,8,6,2,1,3,b urs itis
bookbeat,16188,8,6,2,0,2,book beat
oxyethylene,19086,11,8,3,0,2,oxy ethylene
cmac,58488,4,3,1,0,2,cm ac
tracktops,22025,9,8,1,1,2,track tops
abdomen,1490684,7,7,0,1,2,abd omen
kuvasz,72446,6,6,0,1,3,ku vas z
ocas,22298,4,4,0,1,1,ocas
antropov,27754,8,7,1,0,3,ant rop ov
haxx,49217,4,3,1,1,2,h axx
suncruz,24840,7,6,1,1,3,sun cr uz
comic,16695850,5,4,1,1,1,comic
fontvariations,30489,14,9,5,0,3,font vari ations
tonner,146923,6,5,1,1,2,ton ner
fudforum,408341,8,6,2,1,3,f ud forum
easiness,236587,8,5,3,0,3,e as iness
mooers,52632,6,5,1,1,2,moo ers
livesite,32268,8,6,2,0,3,l ives ite
luq,22365,3,3,0,1,2,lu q
fito,64574,4,4,0,1,2,f ito
screed,162227,6,5,1,1,3,s cre ed
rehabilitator,29278,13,9,4,0,4,reh abil it ator
sace,63253,4,4,0,1,2,s ace
zebco,29470,5,5,0,1,3,z eb co
kempf,135270,5,5,0,1,3,k emp f
fieldscope,16906,10,9,1,0,2,field scope
weisenbach,16057,10,9,1,0,2,weisen bach
frederickson,87782,12,10,2,0,4,fre der ick son
bookstall,21059,9,7,2,1,2,book stall
supercilious,41424,12,9,3,0,3,super cil ious
galasource,24751,10,9,1,1,3,gal as ource
inhs,19203,4,4,0,1,2,in hs
radium,510988,6,6,0,1,2,rad ium
sdpd,21136,4,3,1,1,3,s dp d
