Word,Frequency,Letters_Number,Unique_Letters_number,Difference,Tokens_Number,Tokens_gpt4o-mini,GPT4o-mini_IFCorrect,GPT4o_IFCorrect,LlaMa3.1-8B_IFCorrect,Gemma2-9B_IFCorrect,Mixtral-7B_IFCorrect
xwp,14254,3,3,0,2,x wp,1,1,1,1,1
wwwautotradercom,31056,16,10,6,5,www aut otr ader com,0,1,0,0,0
sarasin,59401,7,5,2,2,sar asin,1,1,0,0,0
roxb,19881,4,4,0,2,ro xb,1,1,1,1,0
tikva,64037,5,5,0,3,t ik va,1,1,1,0,1
motha,49011,5,5,0,2,mo tha,1,1,1,1,0
manisa,37088,6,5,1,2,man isa,1,1,0,1,0
offshore,9689804,8,6,2,2,off shore,0,1,0,0,0
precincts,957247,9,8,1,3,prec inct s,1,1,0,0,0
blatently,28482,9,7,2,3,bl at ently,0,1,0,0,0
idiet,15901,5,4,1,2,id iet,0,1,0,0,0
camarata,13927,8,5,3,3,cam ar ata,0,0,0,0,0
parrottsville,14115,13,10,3,4,par rot ts ville,0,1,0,0,0
ruki,14445,4,4,0,2,ru ki,1,1,1,1,1
linson,24030,6,5,1,2,lin son,1,1,0,0,0
fedoruk,18708,7,7,0,3,f edor uk,1,1,1,1,0
stieler,16415,7,6,1,2,sti eler,0,1,0,0,0
nuer,50171,4,4,0,2,n uer,1,1,1,1,1
indiscretion,113009,12,9,3,3,ind is cretion,0,1,0,0,0
enneagram,169166,9,6,3,2,enne agram,0,1,1,0,0
torani,50754,6,6,0,2,tor ani,1,1,1,1,1
miedema,24085,7,5,2,3,m ied ema,0,1,0,0,0
ffv,53557,3,2,1,2,ff v,1,1,0,1,1
djl,38961,3,3,0,2,d jl,1,1,1,1,0
bss,640685,3,2,1,2,b ss,1,1,1,1,0
newmilns,13441,8,7,1,3,new mil ns,1,1,0,0,0
randu,26120,5,5,0,2,rand u,1,1,1,1,1
rgmp,22672,4,4,0,2,rg mp,1,1,1,1,1
goodnews,41850,8,7,1,2,good news,1,1,0,1,0
casady,54974,6,5,1,2,cas ady,1,1,0,1,0
geven,51808,5,4,1,2,ge ven,1,1,1,1,1
caloric,456201,7,6,1,2,cal oric,1,1,0,0,0
rafael,2653922,6,5,1,3,ra fa el,1,1,0,1,0
garreth,25800,7,6,1,3,gar re th,1,1,0,1,0
amerispan,21458,9,8,1,3,amer is pan,1,1,0,0,1
hogsett,12909,7,6,1,2,hog sett,1,1,0,0,0
docusate,61109,8,8,0,3,d ocus ate,1,1,1,0,0
hephzibah,64241,9,7,2,5,he ph z ib ah,0,0,0,0,0
wibra,14902,5,5,0,3,w ib ra,1,1,1,1,1
multiband,96798,9,9,0,2,mult iband,1,1,0,1,1
tanjil,18403,6,6,0,3,t anj il,1,1,1,1,1
vargas,958091,6,5,1,2,v argas,1,1,0,1,0
brillo,44355,6,5,1,2,br illo,1,1,0,0,0
novick,108165,6,6,0,2,nov ick,1,1,1,0,1
schweine,29351,8,7,1,3,sch we ine,1,1,0,0,0
uffici,20094,6,4,2,2,uff ici,0,1,0,0,0
edfn,16610,4,4,0,2,ed fn,1,1,1,1,0
immorality,310626,10,8,2,3,imm or ality,1,1,0,0,0
maliseet,28771,8,7,1,3,mal ise et,0,1,0,0,0
abrazo,28854,6,5,1,3,ab raz o,1,1,0,1,1
ourses,27928,6,5,1,1,ourses,1,0,0,0,0
plek,21442,4,4,0,2,ple k,1,1,1,0,1
etapes,14202,6,5,1,2,et apes,1,1,0,1,1
xxnicholeexx,18968,12,8,4,6,xx n ich ole ex x,1,1,0,0,0
fraile,16290,6,6,0,2,fra ile,1,1,0,0,1
pagny,15136,5,5,0,3,p agn y,1,1,1,1,1
hovis,57947,5,5,0,3,h ov is,1,1,1,0,0
reserver,62068,8,4,4,2,res erver,0,1,0,0,0
ackerman,880538,8,7,1,2,ack erman,1,1,0,0,1
bremerton,576052,9,7,2,3,b rem erton,0,1,1,1,1
commissaire,76128,11,8,3,3,com miss aire,0,1,0,0,0
breadmaker,111563,10,7,3,2,bread maker,0,1,0,0,0
homedics,334420,8,8,0,3,h omed ics,1,1,1,0,0
matruh,14029,6,6,0,3,mat ru h,1,1,1,1,1
bnai,25250,4,4,0,2,bn ai,1,1,1,0,1
traxxas,233686,7,5,2,4,tr ax x as,1,1,0,0,0
estim,40929,5,5,0,2,est im,1,1,1,0,0
toboso,13158,6,4,2,3,t ob oso,0,0,0,0,0
snacked,14111,7,7,0,2,sn acked,1,1,1,0,0
oaklands,113735,8,7,1,3,o ak lands,0,1,0,0,0
zakah,38781,5,4,1,2,z akah,1,1,0,0,0
corofin,14052,7,6,1,3,cor of in,0,1,1,1,1
sellersburg,66639,11,7,4,3,s ellers burg,0,0,0,0,0
dowloading,14385,10,8,2,3,d ow loading,0,0,0,0,0
skus,125076,4,3,1,2,sk us,0,1,0,0,0
missie,42860,6,4,2,2,miss ie,0,1,0,0,0
mbox,595768,4,4,0,2,m box,1,1,1,0,0
jkt,719272,3,3,0,2,j kt,1,1,1,1,1
undercabinet,25560,12,10,2,3,under c abinet,0,1,0,0,0
deug,14496,4,4,0,2,de ug,1,1,1,1,1
sungard,262779,7,7,0,3,s ung ard,1,1,1,1,1
michler,17707,7,7,0,3,m ich ler,1,1,1,1,1
sickeningly,34976,11,9,2,4,s ick ening ly,1,1,0,0,0
warbucks,22983,8,8,0,2,war bucks,1,1,0,1,0
nutraceutics,98810,12,9,3,4,nut r aceut ics,0,1,0,0,0
woodshed,89401,8,6,2,2,wood shed,0,1,0,0,0
dyp,34814,3,3,0,2,d yp,1,1,1,1,1
treuhand,15053,8,8,0,3,tre u hand,1,1,1,1,0
aiya,38364,4,3,1,2,ai ya,1,1,0,0,1
mbl,254783,3,3,0,2,m bl,1,1,1,1,0
hanny,23588,5,4,1,2,h anny,1,1,1,0,1
alternated,169249,10,7,3,2,altern ated,0,1,0,0,0
catsuit,143087,7,6,1,2,cats uit,1,1,0,0,0
iconic,678475,6,4,2,2,icon ic,0,1,0,0,0
baranowski,39968,10,9,1,3,bar an owski,1,1,0,0,1
ptos,38390,4,4,0,2,pt os,1,1,1,0,1
aline,267309,5,5,0,2,al ine,1,1,1,1,1
casualty,3283712,8,7,1,3,cas ual ty,0,1,0,0,1
mantua,258917,6,5,1,2,mant ua,1,1,0,1,0
technosoft,18761,10,8,2,3,techn os oft,0,0,0,0,0
rakeback,77193,8,6,2,3,r ake back,0,1,0,0,0
lexicographers,19271,14,12,2,3,lex ic ographers,0,0,0,0,0
idyllchat,32165,9,8,1,3,id yll chat,0,1,0,1,1
numeroff,35361,8,7,1,2,numer off,1,1,0,0,0
piccioni,40526,8,5,3,3,pic c ioni,0,0,0,0,0
zaida,21138,5,4,1,2,z aida,1,1,0,1,0
worldtraveler,19437,13,9,4,3,world travel er,0,1,0,0,0
communs,41815,7,6,1,2,comm uns,0,0,0,0,0
nthu,14139,4,4,0,2,nth u,1,1,1,1,1
dmb,349581,3,3,0,2,d mb,1,1,1,1,0
minoxidil,174712,9,7,2,3,min oxid il,0,0,0,0,0
ulam,40909,4,4,0,2,ul am,1,1,1,1,1
angbanders,13355,10,8,2,3,ang band ers,1,1,0,1,0
awakes,155842,6,5,1,2,aw akes,1,1,0,0,0
audience,24472658,8,7,1,2,aud ience,1,1,0,0,0
dishonest,936098,9,8,1,2,dish onest,0,0,0,0,0
immunity,3620582,8,6,2,2,imm unity,0,0,0,0,1
cisco,27894293,5,4,1,2,c isco,0,1,0,0,0
etiketten,82268,9,5,4,3,et ik etten,0,0,0,0,0
tenay,12948,5,5,0,2,ten ay,1,1,1,0,0
fibo,56631,4,4,0,2,f ibo,1,1,1,1,0
dacoma,16269,6,5,1,2,dac oma,1,1,0,1,0
chilcoot,24170,8,6,2,4,ch il co ot,1,1,0,0,0
stratis,24243,7,5,2,2,str atis,0,1,0,0,0
tabsites,26668,8,6,2,2,tabs ites,0,0,0,0,0
mouser,521786,6,6,0,2,m ouser,1,1,1,1,0
yper,21860,4,4,0,1,yper,1,1,1,1,0
turbocash,16180,9,9,0,4,t urb oc ash,0,1,1,1,0
cumbriabukkake,21534,14,9,5,7,c umb ri ab uk k ake,0,0,0,0,0
meatrix,25514,7,7,0,2,me atrix,1,1,0,1,0
transited,37128,9,8,1,2,trans ited,1,1,0,1,1
maclachlan,177100,10,6,4,4,ma cl ach lan,0,1,0,0,0
layla,490034,5,3,2,2,lay la,1,1,0,1,0
foodchain,16304,9,8,1,2,food chain,1,1,0,0,0
foraging,715284,8,7,1,2,for aging,1,1,0,0,0
pullets,39803,7,6,1,2,p ullets,0,1,0,0,0
antennen,17242,8,4,4,2,ant ennen,0,0,0,0,0
lanny,279015,5,4,1,2,l anny,1,1,1,0,1
coare,19778,5,5,0,2,co are,1,1,0,0,1
petzl,518275,5,5,0,2,pet zl,1,1,1,1,0
faleomavaega,34042,12,8,4,5,f ale om ava ega,0,0,0,0,0
matematik,43987,9,6,3,3,mat emat ik,1,1,0,0,0
kerkhoven,24745,9,7,2,3,ker kh oven,0,1,0,0,0
dantec,16545,6,6,0,3,d ant ec,1,1,1,1,1
cambodian,1336560,9,8,1,3,c amb odian,1,1,0,0,1
speedhorn,55439,9,8,1,2,speed horn,0,1,0,0,1
taegu,50542,5,5,0,3,ta eg u,1,1,1,1,0
jhon,71630,4,4,0,2,jh on,1,1,1,1,0
lindert,17139,7,7,0,3,l ind ert,1,1,1,1,1
douching,60062,8,8,0,3,d ouch ing,1,1,0,0,0
intragovernmental,37586,17,11,6,4,in trag overnment al,0,0,0,0,0
kaysen,24317,6,6,0,3,k ays en,1,1,1,1,1
earnalot,13056,8,7,1,3,earn al ot,1,1,0,0,0
racines,36989,7,7,0,2,rac ines,1,1,1,0,0
solander,26291,8,8,0,2,sol ander,1,1,1,1,0
herniation,108655,10,8,2,3,h ern iation,0,0,0,0,0
criticised,843171,10,7,3,3,crit ic ised,0,1,0,0,0
kiki,693528,4,2,2,2,k iki,1,1,1,1,1
lesiban,56429,7,7,0,2,les iban,1,1,1,0,0
salvadori,37798,9,8,1,4,sal v ador i,1,1,1,0,0
hesston,120491,7,6,1,2,hes ston,1,1,0,0,0
manion,70844,6,5,1,2,man ion,1,1,0,0,1
giro,953184,4,4,0,2,gi ro,1,1,1,0,1
orite,38237,5,5,0,2,or ite,1,1,1,1,1
ergo,1034681,4,4,0,2,erg o,1,1,1,1,0
tef,125424,3,3,0,2,te f,1,1,1,0,1
limas,39567,5,5,0,2,lim as,1,1,1,0,1
wwwrtlde,43828,8,6,2,3,www rtl de,1,1,0,0,1
bulbophyllum,147008,12,8,4,5,bul b oph y llum,0,1,0,0,0
mindviz,39872,7,6,1,2,mind viz,0,1,0,0,1
caylor,26234,6,6,0,2,c aylor,1,1,1,1,1
tgch,19566,4,4,0,2,tg ch,1,1,1,1,1
kakamega,36596,8,5,3,4,k ak ame ga,1,1,0,0,0
explode,1880264,7,6,1,1,explode,0,1,0,0,0
dyker,19031,5,5,0,2,dy ker,1,1,1,1,1
hargrave,205954,8,6,2,4,h arg r ave,0,0,0,0,0
merits,3181319,6,6,0,2,mer its,1,1,1,0,0
sawan,55634,5,4,1,2,s awan,1,1,0,1,1
diaoyu,13713,6,6,0,3,dia oy u,1,1,1,0,1
zielona,50315,7,7,0,2,ziel ona,0,1,1,0,1
kadmon,19546,6,6,0,2,kad mon,1,1,1,1,1
gastroschisis,23424,13,9,4,5,g ast ros ch isis,0,0,0,0,0
hasexon,34626,7,7,0,3,has ex on,1,1,0,1,1
maledom,72997,7,6,1,3,ma led om,1,1,0,0,0
sakala,14506,6,4,2,3,s ak ala,1,1,0,0,0
shearaton,95309,9,8,1,3,she ar aton,0,1,0,0,0
holofernes,22358,10,8,2,4,hol o fer nes,0,0,0,0,0
perpective,15141,10,7,3,2,per pective,0,0,0,0,0
reast,12992,5,5,0,2,re ast,1,1,1,0,0
swiveled,31530,8,7,1,3,sw ive led,0,1,0,0,0
bjarke,14258,6,6,0,3,b jar ke,1,1,1,1,1
husky,1606901,5,5,0,2,hus ky,1,1,1,1,1
heliocentric,107934,12,9,3,4,h eli oc entric,0,1,0,0,0
domenici,335295,8,7,1,3,dom en ici,1,1,0,0,0
hornell,121263,7,6,1,2,horn ell,1,1,0,0,0
tclobject,12995,9,7,2,3,tc lo bject,0,0,0,0,0
genebanks,14444,9,7,2,2,gene banks,0,1,0,0,0
unifying,757450,8,6,2,2,un ifying,0,1,0,0,0
frognet,69481,7,7,0,2,frog net,1,1,0,1,0
teamates,13374,8,5,3,2,team ates,0,1,0,0,0
ecotopia,26846,8,7,1,3,ec ot opia,1,1,0,0,0
pankration,14878,10,8,2,3,pan k ration,1,1,0,0,0
photoshoots,83744,11,5,6,3,photos hoot s,0,0,0,0,0
bhoy,17829,4,4,0,2,bh oy,1,1,1,0,1
rosemount,313136,9,8,1,3,ro sem ount,0,1,0,1,0
messege,59694,7,4,3,3,mes se ge,0,0,0,0,0
abatron,13803,7,6,1,2,ab atron,1,1,0,1,1
ribokas,19515,7,7,0,3,rib ok as,1,1,1,0,1
missionary,2576312,10,8,2,2,mission ary,0,1,0,0,0
chisenhale,15946,10,8,2,4,ch isen h ale,0,0,0,0,0
rid,7877480,3,3,0,1,rid,1,1,1,0,0
ivanisevic,51365,10,7,3,3,ivan ise vic,0,0,0,0,0
tuscan,1055307,6,6,0,3,t us can,1,1,1,1,0
oddworld,159666,8,5,3,2,odd world,0,0,0,0,0
garza,648608,5,4,1,2,gar za,1,1,0,1,0
traviesa,26548,8,7,1,4,tr av ies a,1,1,0,0,0
jschool,13482,7,6,1,2,js chool,0,0,0,0,0
rcfd,25918,4,4,0,2,rc fd,1,1,1,1,1
skill,15835076,5,4,1,1,skill,0,1,0,0,0
riccardi,63003,8,5,3,3,ric card i,0,1,0,0,0
jcater,40952,6,6,0,2,jc ater,1,1,1,1,1
understating,37864,12,10,2,3,under st ating,0,1,0,0,0
evens,223759,5,4,1,2,ev ens,1,1,0,0,0
shiffman,48751,8,7,1,3,sh iff man,1,1,0,0,0
pornsex,20611,7,7,0,2,porn sex,1,1,1,0,0
nflnfl,61918,6,3,3,4,n fl n fl,1,1,1,0,0
golledge,16096,8,5,3,3,g ol ledge,0,0,0,0,0
muckler,25971,7,7,0,3,m uck ler,1,1,1,1,0
shekou,19045,6,6,0,3,she k ou,1,1,1,0,1
honking,141742,7,6,1,2,hon king,1,1,0,0,0
miraj,22435,5,5,0,2,mir aj,1,1,1,0,1
intrada,21521,7,6,1,2,intr ada,1,1,0,1,0
tify,87936,4,4,0,2,t ify,1,1,1,0,1
compactors,228456,10,8,2,2,comp actors,0,1,0,0,0
davidswanson,23922,12,8,4,4,d avid sw anson,0,1,0,0,0
automated,12816951,9,7,2,2,autom ated,0,1,0,0,0
mathworks,372961,9,9,0,2,math works,1,1,1,1,0
umx,19859,3,3,0,2,um x,1,1,1,1,1
chickasha,139018,9,6,3,3,ch ick asha,1,1,0,0,0
vir,786138,3,3,0,1,vir,1,1,1,0,0
losing,12607223,6,6,0,1,losing,1,1,1,0,0
transmitters,1447981,12,8,4,2,trans mitters,0,0,0,0,0
xalculator,13655,10,8,2,3,x al culator,0,0,0,0,0
rnam,15700,4,4,0,2,r nam,1,1,1,1,1
verdery,12896,7,5,2,3,ver d ery,0,1,0,0,0
cidoc,27221,5,4,1,2,cid oc,0,0,0,0,0
freeblowjob,24371,11,8,3,4,free bl ow job,0,0,0,0,0
vardon,40391,6,6,0,2,vard on,1,1,1,1,0
plaisance,76148,9,8,1,3,pl ais ance,1,1,1,0,0
menter,53160,6,5,1,2,ment er,1,1,0,0,1
visordown,24245,9,8,1,3,vis ord own,0,1,0,0,0
scoping,885859,7,7,0,2,sc oping,1,1,1,0,0
heldt,27373,5,5,0,2,held t,1,1,0,1,0
rheinhessen,17670,11,6,5,4,r he inh essen,0,1,0,0,0
wwwcontest,12713,10,7,3,2,www contest,0,0,0,0,0
materialise,122471,11,8,3,2,material ise,0,0,0,0,0
shaheenairways,13136,14,9,5,5,sha he en air ways,0,0,0,0,0
hief,15256,4,4,0,2,h ief,1,1,1,1,1
failover,808572,8,8,0,2,fail over,1,1,1,0,0
sternwheeler,16938,12,8,4,5,st ern w he eler,0,1,0,0,0
raynham,182750,7,6,1,3,ray n ham,0,0,0,0,0
pijin,30103,5,4,1,2,pi jin,0,1,0,1,0
weatherization,188057,14,10,4,2,weather ization,0,0,0,0,0
bitmasters,15893,10,8,2,2,bit masters,0,0,0,0,0
amlpand,27501,7,6,1,3,aml p and,0,0,0,0,0
scroogle,15541,8,7,1,3,sc ro ogle,1,1,0,1,0
karny,14033,5,5,0,3,k arn y,1,1,1,1,1
aok,122652,3,3,0,2,a ok,1,1,1,1,1
dese,90061,4,3,1,2,d ese,1,1,1,1,1
liesl,48191,5,4,1,2,lies l,1,1,0,1,0
specialorder,126002,12,10,2,2,special order,0,1,0,0,0
nanuet,156759,6,5,1,2,nan uet,1,1,1,0,0
dounreay,57087,8,8,0,4,d oun re ay,1,1,0,0,0
lindesay,25698,8,8,0,4,l ind es ay,1,1,1,1,0
caldicot,62256,8,7,1,3,c ald icot,1,1,0,0,0
skrevet,65372,7,6,1,3,sk rev et,0,1,0,0,1
ral,852577,3,3,0,1,ral,1,1,1,0,1
stimulant,701584,9,8,1,2,stim ulant,1,1,0,0,0
bcu,113602,3,3,0,2,bc u,1,1,1,1,1
ottumwa,481462,7,6,1,3,ott um wa,0,1,1,0,0
cattani,16545,7,5,2,3,c att ani,1,0,1,0,0
ramune,21123,6,6,0,2,ram une,1,1,1,1,1
schlegelmilch,13254,13,8,5,5,sch leg elm il ch,0,0,0,0,0
taksim,102671,6,6,0,3,t aks im,1,1,1,1,1
hentwi,12991,6,6,0,3,h ent wi,1,1,1,1,1
ringtonss,13299,9,7,2,3,r ington ss,0,1,0,0,0
uuhash,19607,6,4,2,2,uu hash,1,1,0,0,0
silvery,498555,7,7,0,2,sil very,1,1,1,0,0
cynnig,84633,6,5,1,3,c ynn ig,0,1,0,0,0
shalbourne,14995,10,10,0,2,shal bourne,1,1,0,1,0
hallel,23370,6,4,2,2,h allel,1,0,0,0,0
stypes,13211,6,5,1,2,st ypes,0,1,0,0,1
yippy,22796,5,3,2,2,y ippy,1,1,0,0,0
bladeframe,21857,10,8,2,4,bl ad ef rame,0,1,0,0,0
trabaja,19491,7,5,2,3,tr ab aja,0,1,0,0,0
satyrium,14867,8,8,0,3,sat y rium,1,1,0,0,0
antomic,16088,7,7,0,2,ant omic,1,1,1,1,0
kernville,53990,9,7,2,3,k ern ville,0,1,0,0,0
uos,80104,3,3,0,1,uos,1,1,1,1,1
envisions,331810,9,6,3,2,en visions,0,0,0,0,0
s,565123981,1,1,0,1,s,1,1,1,1,1
dermatosis,19462,10,9,1,3,der mat osis,1,1,0,0,0
localizes,80573,9,8,1,2,local izes,0,0,0,0,0
elsea,12889,5,4,1,1,elsea,1,1,0,0,1
hammill,147290,7,5,2,2,ham mill,1,1,0,0,0
erfurth,18218,7,6,1,3,er fur th,1,1,1,1,0
dvcd,25838,4,3,1,2,dv cd,1,1,0,0,0
sushmita,51328,8,7,1,4,s ush mit a,1,1,0,1,0
